HOTEL GANESH PALACE,"l 17, chandraguptha road, chandraguptha road, near suburb bus stand, lashkar mohalla, mysuru, karnataka 570001, india",Hotel,12.3102748,76.658373,570001,98,3.5
THE OLIVE STAR,"#152,dr. nelson mandela road, new, abdul kalam azad cir, new bannimantap extension, mysuru, karnataka 570015, india",Hotel,12.3311003,76.6468544,570015,117,3.5
GITANJALI,"lalitadripura road (road diagonally opposite to brigade splendour), mysuru, karnataka, india",Homestay,12.2917424,76.6902867,NA,97,4.4
OLIVE COMFORT,"3615, sayyaji rao road, near old rmc circle, tilak nagar, mysuru, karnataka 570021, india",Hotel,12.3215298,76.6467746,570021,96,3.3
THE VICEROY HOTEL,"sri harsha road, lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3090516,76.6563563,570001,116,3.4
HOTEL LUCIYA INTERNATIONAL,"#1771, 2nd floor, urs complex, saroadar patel road, near prabha theater, mysuru, karnataka 570001, india",Hotel,12.3113584,76.6527118,570001,115,3.5
HOTEL MYSORE PALACE,"#396, t narsipura road, opposite to nirmala hospital, allanahalli layout, alanahalli village, mysuru, karnataka 570028, india",Hotel,12.2992218,76.6975516,570028,114,3.6
TREEBO TRIP JASMINE,"plot no. 83, 2nd b cross, 2nd main road, vijayanagar 1st stage, mysuru, karnataka 570017, india",Hotel,12.3271518,76.6185006,570017,112,3.8
REGALIA INN & SUITES,"64/a, gandhi nagar road, gandhi nagar, karunapura, gayathri puram, mysuru, karnataka 570007, india",Hotel,12.3223301,76.6614284,570007,110,4
"NIRVANA YOGA SHALA, MYSORE(ASHTANGA/HATHA/KUNDALINI YOGA TEACHERS TRAINING COURSE INDIA)","100, 3road ‘a’ main road, gokulam 2nd stage, near the park, mysuru, karnataka 570002, india",Yoga studio,12.330277,76.626044,570002,108,4.8
INTERNATIONAL YOUTH HOSTEL MYSORE,"350, 5th main road, gokulam 2nd stage, gokulam, mysuru, karnataka 570002, india",Youth hostel,12.3291414,76.6257115,570002,107,4.4
ROYAL SUVARNA COMFORTS,"# 269 d1, next to hotel lok sagar, lakshmi vilas road, near jaganmohan palace, mysuru, karnataka 570004, india",Lodge,12.305928,76.6502748,570004,106,3.6
VRS DORMITARY,"keshava iyengar road, lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Bed & breakfast,12.3130824,76.6580006,570001,105,5
NATIONAL RESIDENCY,"bannimantap road, new bannimantap extension, yadavagiri, mysuru, karnataka 570015, india",Hotel,12.332028,76.6517367,570015,104,3.9
HOTEL KINGS KASTEL,"bus stand, no 69, ashoka road, near ksrtc, lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Lodge,12.314884,76.6566136,570001,103,3.6
VISMAYA COMFORTS,"shalivahana road, nazarbad, mysuru, karnataka 570010, india",Hotel,12.3104371,76.664282,570010,95,5
OSHO GLIMPSE MYSORE(MEDITATION & ACCOMMODATIONS),"349, 6th main road, 16th cross, gokulam 2nd stage, mysuru, karnataka 570002, india",Yoga studio,12.3293273,76.624888,570002,94,4.8
ADVAITHA RESIDENCY,"rajkamal theatre road, devaraja mohalla, shivarampet, mysuru, karnataka 570001, india",Hotel,12.311141,76.6495315,570001,93,5
VILLA PARK MYSURU,"#25, opp chamundi vihara stadium, hyderali road, vasantha mahal road, doora, mysuru, karnataka 570010, india",Hotel,12.3127226,76.6677939,570010,92,4.1
KSTDC HOTEL MAYURA YATRINIVAS,"railway station, 2, jhansi rani lakshmi bai road, devaraja mohalla, near, mysuru, karnataka 570005, india",Hotel,12.3118538,76.6450548,570005,91,3.9
COLLECTION O 40332 HOTEL CASA MERIDIAN,"1/3, k b arcade, hunsur road, vinayakanagara, signal, karnataka 570012, india",Hotel,12.3162743,76.6277871,570012,90,3.7
HOTEL PALACE PLAZA,"2716, sri harsha road, lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.308941,76.6567695,570001,89,3.4
HOTEL VICEROY COMFORTS,"annex rajendra kalamandhira, no.770/5 f-25, ramanuja road, mysuru, karnataka 570004, india",Hotel,12.2953884,76.653511,570004,87,3.7
"HOTEL PEARL INN, MYSORE","govt. ayurvedic hospital circle 1st cross, sayyaji rao road, behind kannan lab, mysuru, karnataka 570001, india",Hotel,12.3163154,76.6510934,570001,60,3.5
AISHWARYA LE ROYAL (BEST BUDGET HOTEL IN MYSORE),"#374/375, ashoka road, opp st. philomena's cathedral, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3209765,76.6576565,570001,85,3.9
BANYAN TREE COMFORTS,"no-283, d17, lakshmi vilas road, next to patanjali chikatsalaya, devaraja mohalla, mysuru, karnataka 570001, india",Hotel,12.3062669,76.6494928,570001,58,4
HOTEL MAYURA HOYSALA,"jhansi rani lakshmi bai road, devaraja mohalla, shivarampet, mysuru, karnataka 570005, india",Hotel,12.3124347,76.6451593,570005,57,4
SAFARI QUEST,"40/c, behind kanti conventional hall, industrial suburb, vidyaranyapura, visveshwara nagar, karnataka 570008, india",Hotel,12.2730356,76.6435017,570008,54,4.9
"HOTEL HERITAGE INN, MYSORE","#67/a, mg road, agrahara, fort mohalla, mysuru, karnataka 570004, india",Hotel,12.2972668,76.655753,570004,53,4.4
SEPOY GRANDE HOTEL MYSORE,"62b, mg road, opp jss hospital, agrahara, fort mohalla, mysuru, karnataka 570004, india",Hotel,12.2972969,76.6563116,570004,50,4
AISHWARYA RESIDENCY (BEST BUDGET HOTEL IN MYSORE),"2932/a, off bangalore-nilgiri road, lashkar mohalla,, near ksrtc suburban busstand, behind kalyan jewels, mysuru, karnataka 570001, india",Hotel,12.315859,76.65818,570001,49,3.9
HOTEL ROYALE HERITAGE,"bangalore nilgiri road, lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.315821,76.659131,570001,84,3.7
SHREE GURU RESIDENCY,"2249 / 1, new no. 10, jhansi lakshmi bai cross road, devaraja mohalla, mysuru, karnataka 570001, india",Hotel,12.31277,76.642708,570001,48,3.9
KUMAR'S THE WHITE HOUSE,"near highway circle, mission hospital road, bannimantap, mysuru, karnataka 570015, india",Hotel,12.3293591,76.6472929,570015,83,3.8
