Name,Adress,Type,latitude,longitude,pin code,rating
SRI NANDI TEMPLE,"Chamundi Hill Rd, Chamundi Hill, Mysuru, Karnataka 570010, India",HINDU TEMPLE,12.2795295,76.6679791,570010,5
POSTAL MUSEUM KARANJI MANSION mysuru,"Postal Training Centre, Mysuru, Karnataka 570011, India",MUSEUM,12.3070539,76.6711648,570011,4
VIVEKANANDA STATUE AND CIRCLE,"570023, Vivekananda Nagar, Mysuru, Karnataka 570023, India",HISTORICAL LANDMARK,12.276433,76.6229747,570023,5
DR.RADHAKRISHNAN STATUE,"University of mysuru Campus, Mysuru, Karnataka 570006, India",HISTORICAL LANDMARK,12.3090586,76.6150499,570006,5
MELODY WORLD WAX MUSEUM,"Vihara Marga, Kurubara Halli, Siddhartha Layout, Mysuru, Karnataka 570011, India",WAX MUSEUM,12.3022952,76.6775885,570011,4
KARANJI LAKE,"Jockey Quarters, Mysuru, Karnataka 570011",LAKE,12.302778,76.673611,NA,4
CRAWFORD HALL,"University of, Mysuru, Karnataka, India",UNIVERSITY,12.3080774,76.6392664,NA,4
MAHISHASURA STATUE,"Mahishasura Circle, Chamundi Hill Rd, Vijay Nagar, Mysuru, Karnataka 570010, India",TOURIST ATTRACTION,12.2750996,76.6709531,570010,5
mysuru,"Akshaya Bhandar, Saraswathipuram, Mysuru, Karnataka 570005, India",HISTORICAL LANDMARK,12.3025097,76.6340167,NA,5
FIVE LIGHT CIRCLE," Earangere, Mandi Mohalla, Mysuru, Karnataka 570001, India",HISTORICAL LANDMARK,12.318044,76.6594702,570001,4
"GROUP OF TEMPLES AT THE AMBA VILAS PALACE, mysuru","Siddhartha Nagar, Chamarajapuram Mohalla, Lakshmipuram, Mysuru, Karnataka 570004, India",HINDU TEMPLE,12.2958448,76.6393837,NA,4
Historical Building,"Kuvempu Nagar 1st Stage, Kuvempu Nagara, Mysuru, Karnataka 570023, India",HISTORICAL LANDMARK,12.2845678,76.6226853,570023,1
mysuru PALACE MUSEUM,"Unnamed Road, Agrahara, Chamrajpura, Mysuru, Karnataka 570004, India",MUSEUM,12.3054943,76.6547716,570004,5
 RESTO PUB,"1064, 1, Jayalakshmi Villas Road, near Law Court, Chamarajapura, Chamarajapuram Mohalla, Lakshmipuram, Mysuru, Karnataka 570005, India",RESTAURANT,12.300656,76.6402257,570005,4
FREEMASON'S mysuru GUILD,"19/2, Ashoka Rd, Lashkar Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001, India",HISTORICAL SOCIETY,12.3092366,76.6561842,570001,4
JAGANMOHAN PALACE ART GALLERY AND AUDITORIUM,"Jagan Mohan Palace Road, Subbarayanakere, Chamrajpura, Mysuru, Karnataka 570004, India",ART GALLERY,12.3069775,76.6498743,570004,4
STATUE OF CHAMARAJENDRA WODEYAR,"Jaya Vijaya Gate, Albert Victor Rd, Lashkar Mohalla, Chamrajpura, Mysuru, Karnataka 570001, India",HISTORICAL LANDMARK,12.3083475,76.655831,570001,5
BIG CLOCK TOWER,"Dodda Gadiyara, Ashoka Rd, Devaraja Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001",HISTORICAL LANDMARK,12.3097934,76.6558635,570001,5
LANSDOWNE BUILDING mysuru,"Lansdowne Building, Subbarayanakere, Chamrajpura, Mysuru, Karnataka 570004",HISTORICAL LANDMARK,12.3069628,76.6524411,570004,4
METROPOLE TRAFFIC JUNCTION,"1294b, Jhansi Rani Lakshmi Bai Rd, Devaraja Mohalla, Shivarampet, CFTRI Campus, Yadavagiri, Mysuru, Karnataka 570005",HISTORICAL LANDMARK,12.3110211,76.6444688,570005,4
