"YOGA GITA,","2981/1, 4th Main Rd, Gokulam 2nd Stage, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Yoga retreat center,12.327818,76.627525,+91 94823 00820,570002,4.8
SPYSS YOGA MANDIR,"1462, 6th Cross Road, Krishnamurthy Puram, Mysuru, Karnataka 570009, India",Yoga studio,12.2922851,76.6405525,NA,570009,4.5
IIYN ,"2908, 1, 3rd Main Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Yoga studio,12.3213123,76.635047,NA,570002,NA
YOGA ASHTANGA VIDYALAYA,"No 14, Contour Rd, 3rd Stage, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3340513,76.6237775,+91 91212 42817,570002,NA
MANDALA YOGASHALA,"897, 1, NS Road, Lakshmipuram, Mysuru, Karnataka 570004, India",Yoga studio,12.2936775,76.6482807,+91 821 425 6277,570004,4.2
YOGA WITH PRAHLAD,"#675, 2nd Main 11th Cross Rd, 3rd Stage, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3369738,76.6250537,+91 79768 78849,570002,5
HIMALAY ASHTANGA YOGA,"1123, Geetha Rd, Chamarajapura, Chamarajapuram Mohalla, Lakshmipuram, Mysuru, Karnataka 570004, India",Yoga studio,12.298228,76.6414,NA,570004,4.8
YOGA INDIA,"144/E, 1st floor, 7th Main Rd, Gokulam 3rd Stage, Mysuru, Karnataka 570002, India",Yoga studio,12.3367512,76.6298427,NA,570002,
PRANA VASHYA YOGA SHALA,"605, 14th cross, 1st Main Rd, 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3333956,76.6246583,+91 94804 87550,570002,4.5
ASHTANGA YOGATANTRA RESEARCH SCHOOL,"Red rooftop house street, behind post office, Lakshmipuram, Mysuru, Karnataka 570004, India",Yoga studio,12.2969632,76.6451553,NA,570004,5
MYSORE ACADEMY OF YOGA,"#1645/A, K4/A, 6th Cross Rd, KR Mohalla, Hosakeri, Mysuru, Karnataka 570004, India",Yoga studio,12.2955723,76.6487559,NA,570004,4.9
MYSORE KRISHNAMACHARR YOGA FOUNDATION,"490, Devamba Agrahara, KR Mohalla, Chamrajpura, Mysuru, Karnataka 570024, India",Yoga studio,12.3022516,76.649718,+91 99863 90093,570024,4.7
BADRI YOGA SCHOOL,"13th Cross Rd, Gokulam 2nd Stage, Gokulam, Gokulam, Mysore, Karnataka 570002, India",Yoga studio,12.3294871,76.6273832,+91 99012 19615,570002,4.9
"YOGA SCHOOL IN MYSORE, ","41, 1st Cross Rd, 4th Block, Jayalakshmipuram, Mysuru, Karnataka 570006, India",Yoga studio,12.3222147,76.6272998,+91 95352 32320,570006,4
STHALAM 8 ASHTANGA YOGA VEDANTA CENTRE,"Sthalam 8 Ashtanga Yoga Vedanta Centre #1108/3, CH, 33/3, Geetha Rd, Chamarajapura, Lakshmipuram, Mysuru, Karnataka 570005, India",Yoga studio,12.2980582,76.6412104,+91 98809 13555,570005,5
YOGADARSHANAM-MYSORE ASHTANGA &HATHA YOGA TEACHERS TRAINING INDIA,"77/A, 1st Floor, 4th Main Rd, 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga retreat center,12.3351403,76.6297899,+91 99017 60846,570002,5
ASHTANGA WITH RASHMI MYSORE,"1183, Balakrishna Rao Rd, Chamarajapura, Chamarajapuram Mohalla, Lakshmipuram, Mysuru, Karnataka 570004, India",Yoga studio,12.2965561,76.6401233,NA,570004,5
INDEAYOGA MYSORE. ASHTANGA & HATHA YOGA TEACHER TRAINING SHALA,"130, Bogadi Main Rd, Next to Aroma Bakery, TK Layout, Mysuru, Karnataka 570009, India",Yoga retreat center,12.3066621,76.6165572,+91 98860 91291,570009,4.9
ASHTANGA YOGA IN MYSORE ,"Kanchen, # 490, DEVAMBA AGRAHARA, K.R. MOHALLA, Mysuru, Karnataka 570024, India",Yoga retreat center,12.299033,76.650028,+91 97644 86555,570024,NA
MYSORE YOGA FOUNDATION,"Irwin Rd, Lashkar Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001, India",Yoga studio,12.314368,76.655462,+91 98450 76497,570001,NA
ASHTANGA YOGA ASHRAM MYSORE,"176/2, 12th Main Rd, 1st A cross, JP Nagar, Mysuru, Karnataka 570008, India",Yoga studio,12.2617081,76.6479143,+91 93803 45644,570008,5
ASHTANGA SAADHANA,"403, Contour Rd, 3rd Stage, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3332395,76.6303343,+91 96630 47900,570002,4.8
MYSORE HATHA YOGA KENDRA,"953/1, Ganesha Krupa, Kantharaja Urs Rd, Opposite Friendly Motors, Lakshmipuram, Mysuru, Karnataka 570004, India",Yoga studio,12.2950184,76.6456035,+91 821 233 1505,570004,4.9
YOGA BHARATA - MYSORE ASHTANGA & HATHA YOGA SHALA,"Building No. 810, First Floor, Contour Rd, 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3313964,76.6286805,+91 94498 36779,570002,4.8
"NIRVANA YOGA SHALA, MYSORE","100, 3rd ‘A’ Main Road, Gokulam 2nd Stage, Near the Park, Mysuru, Karnataka 570002, India",Yoga studio,12.330277,76.626044,+91 98866 47772,570002,4.8
SACHIDANANDA ASHTANGA YOGA SHALA,"865, 1st Main Rd, 3rd Stage, Gokulam 2nd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3324059,76.6305372,+91 98808 83734,570002,4.9
K PATTABHI JOIS ASHTANGA YOGA INSTITUTE,"#235, 8th Cross Rd, 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3323768,76.628767,+91 98801 85500,570002,3.7
RAMESH SHETTY'S MYSORE ASHTANGA YOGA SHALA ,"186/A, 9th Cross Rd, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3341954,76.628039,+91 77959 77565,570002,4.9
ASHTANGA YOGA MYSORE,"177, JC Nagar Road, K.C Layout, Mysuru, Karnataka 570010, India",Yoga studio,12.298036,76.683584,+91 97421 80110,570010,NA
