MACHAAN ROOFTOP DINING MYSORE,"Akshaya Mahal Inn, Abba Rd, Nazarbad Mohalla, Nazarbad, Mysuru, Karnataka 570007, India",Restaurant,12.3177771,76.6646099,+91 99860 32976,570007,225,3.6
Mathsya Darshini - Fish stall,"Ramavilas Rd, Kukkarahalli, Saraswathipuram, Mysuru, Karnataka 570009, India",Seafood restaurant,12.3080651,76.6371186,+91 91413 15118,570009,173,4.1
The Cubs Veg,"313, Ramavilas Road, Subbarayanakere, Chamrajpura, Mysuru, Karnataka 570023, Ramavilas Rd, Subbarayanakere, Chamrajpura, Mysuru, Karnataka 570023, India",Vegetarian restaurant,12.3063758,76.6452358,+91 95139 51399,570023,224,4.1
Friends Inn,"16/1, JC College, Sri Jayachamarajendra College of Engineering Rd, Vajdevi Nagar, Bogadi 2nd Stage, Bhogadi, Karnataka 570026, India",Restaurant,12.3056175,76.6161435,+91 76764 77774,570026,169,4.3
Kamat Madhuvan,"#151, F2/1E, Khille Mohalla, Mysuru - Ooty Rd, Mysuru, Karnataka 570010, India",South Indian restaurant,12.2940852,76.6588552,+91 95137 78225,570010,222,3.6
Pupa Pub Bar & Kitchen,"2892, Kalidasa Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Restaurant,12.3242926,76.6255746,+91 91102 46492,570002,168,4.1
Hotel New Shilpashri,"Gandhi Square, 1648, 1, Old Bank Rd, Mysuru, Karnataka 570001, India",Restaurant,12.3109676,76.6543365,NA,570001,200,3.3
RRR Hotel Andhra Style,"2716, Sri Harsha Rd, Lashkar Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001, India",Andhra restaurant,12.3086763,76.6584567,+91 821 244 2878,570001,167,4
Grand Restaurant,"#34Opp Bhuvaneshwari Kalyana Mantap Hanumantha Nagar, Hudco, Bannimantap, Mysuru, Karnataka 570015, India",Restaurant,12.3389342,76.6507135,+91 99027 21029,570015,199,4.8
Mysuru Veg,"342, Krishna Vilas Rd, Devaraja Mohalla, Chamrajpura, Mysuru, Karnataka 570024, India",Restaurant,12.3076422,76.647762,NA,570024,198,4.4
Sri Sai Ice N Cane,"Vinaya Marga Cross Rd, Siddhartha Layout, Mysuru, Karnataka 570011, India",Fast food restaurant,12.303638,76.6846695,NA,570011,203,3.7
Domino's Pizza,"Sharda Platina,Ground Floor,No.661/1 Silver Jubilee Clock Tower Square, Clock Tower Rd, Mysuru, Karnataka 570001, India",Pizza restaurant,12.3101667,76.6559666,+91 1800 208 1234,570001,202,4
Embassy,"365,, Jhansi Rani Lakshmi Bai Rd, Subbarayanakere, Chamrajpura, Jhansi Lakshmibai Road, Karnataka 570004, India",Indian restaurant,12.3049428,76.6437838,NA,570004,196,3.8
Khan Restaurant,"11/10, Sayyaji Rao Rd, Bamboo Bazar, Yadavagiri, Mysuru, Karnataka 570001, India",Non vegetarian restaurant,12.3215,76.6465708,+91 821 419 1076,570001,160,3.8
Nisarga Coastal Express,"Mysore Bangalore Rd, Narashima Raj Mohalla, Bannimantap A Layout, Bannimantap, Mysuru, Karnataka 570015, India",Restaurant,12.3461544,76.656016,NA,570015,201,3.7
Apoorva ,"No. 904/1 - F-40/1, JLB Road, Chamundipuram, Opp Syndicate Bank, Vidyaranyapura, Mysuru, Karnataka 570008, India",South Indian restaurant,12.288614,76.6484333,+91 82775 48124,570008,194,3.8
Rhythm N Brews,"628, Contour Rd, 3rd Stage, Gokulam 2nd Stage, Gokulam, Mysuru, Karnataka 570002, India",Takeout Restaurant,12.3321757,76.6303002,+91 73381 19666,570002,159,4.2
Casino Park Restaurant,"289/3D-1/3, 11Th Cross, Vani Vilas Mohalla, Kalidasa Road, Karnataka 570002, India",Non vegetarian restaurant,12.3242955,76.6254232,+91 821 424 5757,570002,193,3.8
Bismillah Hotel,"3121/21, Kali Temple St, Menna Bazzar, Mandi Mohalla, Mysuru, Karnataka 570001, India",Restaurant,12.3201984,76.6552638,+91 98452 87786,570001,158,3.9
SS Mysore Tiffanies,"#256, 1, 1st Main, Udayagir, Muneshwara Nagar, Udayagiri, Mysuru, Karnataka 570019, India",Restaurant,12.3288217,76.6719165,NA,570019,192,4.7
Chef's De Cuisine,"#781 Abhi Siri Arcade Ganesh Bandhar, TK Layout, Mysuru, Karnataka 570009, India",Non vegetarian restaurant,12.2987403,76.6168824,NA,570009,157,3.9
Mysuru Nati House,"Sri Sai Krupa Complex, Adipampa Rd, opp. Empire restaurant, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Restaurant,12.3240791,76.6279814,+91 95916 08475,570002,156,4.6
La Uppu,"60, Sayyaji Rao Rd, Bamboo Bazar, Shivarampet, Mysuru, Karnataka 570021, India",Fine dining restaurant,12.3303557,76.6452038,NA,570021,190,3.5
Spicez Fusion,"Hotel Roopa2724/Cbangalore Nilgiri Road, Nilgiri Road, Karnataka 570001, India",Restaurant,12.3084376,76.6596799,+91 96111 19912,570001,155,3.8
Funnel - The Fine Dine Restaurant.,"No.2963, Brigade Point, 6th Main Road, Gokulam 2nd Stage, Mysuru, Karnataka 570002, India",Fine dining restaurant,12.3269852,76.6268229,NA,570002,189,3.8
K.V.R. Ruchi Centre - Vegetarian Restaurant,"Shop.no- 1,2 &3 , Corporation building, Ground Floor Kalidasa Road, beside Sri Lakshmi Narsimha Temple, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",South Indian restaurant,12.3233457,76.6279871,NA,570002,187,3.8
Caravan Family Restaurant,"No.53/1, Near JSS College, opposite Loyal World Center, Hudco, Bannimantap, Mysuru, Karnataka 570015, India",Restaurant,12.3422113,76.6539795,+91 821 428 1235,570015,186,3.8
Coastal Mirchi,"1806, Udayaravi Rd, Block K, Jayanagar, Kuvempu Nagara, Mysuru, Karnataka 570023, India",Seafood restaurant,12.2860688,76.6330957,+91 95132 88800,570023,185,4.3
Madhwas Roti Point,"615, New Kantharaj Urs Rd, next to BKG Health Centre, Kuvempunagara North, Kuvempu Nagara, Mysuru, Karnataka 570023, India",Vegetarian restaurant,12.2956129,76.6245769,+91 63640 41010,570023,183,4.2
Cusine restaurant,"2358/A, Adichunchanagiri Road, Kuvempu Nagara, Mysuru, Karnataka 570023, India",Restaurant,12.2951705,76.6316193,NA,570023,182,NA
Shree Ragahavendra Bhavan,"Near Olympia Theatre, Makkaji Chowk Hanumantha Rao Street Devaraja Mohalla, Shivrampet, CFTRI Campus, Yadavagiri, Mysuru, Karnataka 570001, India",Vegetarian restaurant,12.310797,76.6536885,NA,570001,181,4.1
Sherpa's kitchen,"5th Main Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Chinese restaurant,12.3240168,76.6304332,NA,570002,120,4.2
Original Hanumanthu Devi Mess(SINCE 1930),"1777, 1, Mission Hospital Rd, Mandi Mohalla, Mysuru, Karnataka 570021, India",Hotel,12.3173947,76.6507846,+91 99167 79022,570021,119,4.2
The Sixth Main,"1, 6th Main Road, Gokulam 3rd Stage, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Restaurant,12.3354568,76.625069,NA,570002,118,NA
Pelican Pub & Grub House Restaurant,"Vinoba Road(Hunsur Road), Opp. KSOU, Mysuru, Karnataka 570012, India",Restaurant,12.3176496,76.6253569,+91 821 241 5157,570012,117,4.1
TKS Iyengars Restaurant,"3037, 1st Main Rd, Gokulam 1st Stage, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Vegetarian restaurant,12.3274882,76.6319705,+91 91081 90955,570002,166,4.1
Green Heritage,"Opposite Joint Commissioner Commercial Taxes, Krishna Vilas Rd, Subbarayanakere, Chamrajpura, Mysuru, Karnataka 570004, India",Vegetarian restaurant,12.307462,76.6458774,NA,570004,116,4.3
Iyengar'S,"Shop No:#1945, 100 Feet Road, Chamaraja Double Road, Agrahara, Chamrajpura, Mysuru, Karnataka 570004, India",Breakfast restaurant,12.3018657,76.6502997,+91 99009 70629,570004,165,3.9
Tegu Mess,"#5, First Floor, 6th Cross, Adipampa Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Non vegetarian restaurant,12.3234093,76.6283432,NA,570002,154,4.2
"ROYAL MESS - Home Made Food | Family Restaurant in Mysore | Muglai, Biryani Restaurant","4th Cross Rd, S S Nagar, Siddique Nagar, Bannimantap, Mysuru, Karnataka 570015, India",Restaurant,12.3490811,76.6587133,+91 99024 19612,570015,115,4.3
Pearl Big Chicken Restaurant,"331/A, Loyal World Centre, State Highway 17, Jayalakshmipuram, Bannimantap, Mysuru, Karnataka 570015, India",Family restaurant,12.3421419,76.6546191,+91 821 424 1999,570015,153,4
ABS Arabia,"3rd Floor, Mall of Mysore, Indiranagar Extension, MG Road, Nazarbad Mohalla, JC Nagar, Mysuru, Karnataka 570010, India",Fast food restaurant,12.2978489,76.6647132,+91 72594 02476,570010,164,3.5
Lemon Three Restaurant,"Buddha Marga, Siddhartha Layout, Mysuru, Karnataka 570011, India",Restaurant,12.3067512,76.6852995,+91 88670 83788,570011,114,3.9
Zam zam e yadgar hotel,"Sawday Rd, Kailasapuram, Mandi Mohalla, Mysuru, Karnataka 570001, India",Restaurant,12.3198285,76.6546868,+91 78991 26127,570001,161,4.2
Khwaja Hotel Mysore,"Sawday Rd, Kailasapuram, Mandi Mohalla, Mysuru, Karnataka 570001, India",Restaurant,12.3197913,76.6536449,NA,570001,113,4
SUYOGA Anna Cafe Food and Massage,"1129, 1st Main Rd, opp. Ganapathi Temple, Gokulam 2nd Stage, Gokulam, Mysuru, Karnataka 570002, India",Restaurant,12.3308809,76.6284028,+91 94815 73827,570002,152,4.4
Restaurant,"Mysore Bangalore Rd, beside BIBI ayesha hospital, Narashima Raj Mohalla, Bannimantap A Layout, Bannimantap, Mysuru, Karnataka 570015, India",Restaurant,12.3461544,76.656016,NA,570015,109,NA
Coastal Pearl Multi-cuisine Family Restaurant,"door no. 514 1st floor, Kalidasa Rd, opp. bank of baroda, 1st Stage, Vijayanagar, Mysuru, Karnataka 570017, India",Seafood restaurant,12.3239263,76.6263238,+91 821 254 3766,570017,151,4
Neelanjana Mahesh Prasad,"35/A, Vishwamanava Double Road, Block A, MUDA Employees Layout, Ramakrishnanagar, Mysuru, Karnataka 570022, India",Restaurant,12.2864022,76.6146852,+91 821 350 0446,570022,149,4
The Magals Restaurant,"Ashoka Road, 21 West Cross, Ashoka Road, 21 West Cross, near St. Philomena's Cathedral, Lashkar Mohalla, Mysuru, Karnataka 570001, India",South Indian restaurant,12.3204546,76.657607,NA,570001,148,NA
Kabul House - The Restaurant,"M8/A, Ummerkhayam Rd, Tilak Nagar, Mysuru, Karnataka 570021, India",Restaurant,12.3276798,76.6466372,+91 99727 91527,570021,147,4.7
Hotel Sri Durga Bhavan,"No. 233, Sapthagiri Shopping Complex, 262, 2nd Main Rd, Gokulam 2nd Stage, Gokulam, Mysuru, Karnataka 570002, India",South Indian restaurant,12.3302854,76.6294619,+91 98805 44934,570002,139,4
Chicken Palace,"Ashoka Rd, Lashkar Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001, India",Chicken restaurant,12.3201184,76.657587,NA,570001,145,4.2
Neon Castle,"Next to Ayush kids clinic, 2725/1, 3rd Main Rd, Near HDFC Bank Circle, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Restaurant,12.3255607,76.6308437,+91 74116 11605,570002,142,4.2
GURU DARSHINI -DOSA PALACE,"2621, 1, Valmiki Main Rd, Devaraja Mohalla, Vontikoppal, Mysuru, Karnataka 570006, India",South Indian restaurant,12.3221925,76.634121,NA,570006,138,4.1
Mysore Thindies (?????? ???????),"Cross junction, Devraj URS Road and NS Road, ?????? ???????? ?????, Subbarayanakere, Chamrajpura, Mysuru, Karnataka 570004, India",Vegetarian restaurant,12.309055,76.6478286,+91 84318 49469,570004,137,4.2
Goli Vada Pav No.1 - Mysore,"12, Telephone Exchange Rd, 3rd Block, Jayalakshmipuram, Mysuru, Karnataka 570012, India",Fast food restaurant,12.3213146,76.6215632,NA,570012,134,4.1
Etihad Arabian Restaurant,"1st Cross, Siddique Nagar, Bannimantap, Mysuru, Karnataka 570015, India",Halal restaurant,12.3483352,76.6594089,+91 95915 67960,570015,100,4.1
Country Cuisine,"52, 6th Main, 5th Cross Road, Saraswathipuram, Mysuru, Karnataka 570009, India",Vegetarian restaurant,12.3014032,76.6313091,+91 99720 36116,570009,99,4
Sip & Snacks,"Star Complex, 123, near Bus Depot, Bannimantap, Mysuru, Karnataka 570015, India",South Indian restaurant,12.3374911,76.6523031,+91 98804 34106,570015,133,4.2
Cafe Good Vibes| Italian restaurant | Coffee shop |,"904, 1, Jhansi Rani Lakshmi Bai Rd, next to Apoorva Hotel, Chamundipuram, Mysuru, Karnataka 570008, India",Cafe,12.2884704,76.6485161,+91 821 297 8124,570008,98,4.2
